nombre,formato,precio,precio_ud/Kg/L,marca,categoria
panales dodot t3 7 11 kg 112 ud,11 kg,31.2,2.8363636363636364,dodot,bebe
tarrito verduras con lentejas y pollo desde 6 meses ecologico hero solo sin gluten 190 g,190 g,2.69,14.157894736842104,hero solo,bebe
crema balsamo para proteger la zona del panal 1 2 3 mustela 150 ml,150 ml,12.49,83.26666666666667,mustela,bebe
leche infantil para lactantes en polvo blemil confort protech 1 lata 800 g,lata 800 g,30.6,38.25,blemil,bebe
protegecamas infantil carrefour baby 10 ud,10 ud,5.95,0.595,carrefour baby,bebe
crema protectora de panal johnsons baby 100 ml,100 ml,5.05,50.49999999999999,johnsons baby,bebe
tarrito con cachitos de arroz con salmon y guisantes desde 10 meses ecologico smileat sin gluten 230 g,230 g,2.95,12.82608695652174,smileat,bebe
pants agatha ruiz de la prada talla 5 12 18 kg 40 ud exclusivo carrefour,18 kg,14.45,0.8027777777777777,carrefour,bebe
snacks de cereales con platano desde 8 meses ecologico gerber sin azucar anadido 35 g,35 g,2.79,79.71428571428571,gerber,bebe
toallitas para bebe sin perfume ecologicas carrefour bio 64 ud,64 ud,2.55,0.03984375,carrefour baby,bebe
galletitas infantiles animales desde 12 meses ecologicas hero solo 100 g,100 g,3.89,38.9,hero solo,bebe
panales dodot t6 13 18 kg 140 ud,18 kg,46.6,2.588888888888889,dodot bebe seco,bebe
preparado de multifrutas sin azucar anadido desde 12 meses ecologico my carrefour baby bio sin gluten pack de 4 bolsitas de 100 g,pack de 4 bolsitas de 100 g,2.55,25.499999999999996,carrefour bio,bebe
panales carrefour baby ultra dry talla 5 junior 12 20 kg 84 uds,20 kg,15.69,0.7845,carrefour baby ultra dry,bebe
tarrito de menestra de cordero desde 6 meses nutriben potitos sin gluten 235 g,235 g,1.84,7.829787234042554,nutriben,bebe
tarrito de verduritas con delicias de pavo desde 6 meses hero solo sin gluten 235 g,235 g,1.75,7.446808510638299,hero,bebe
tarrito de zanahorias con arroz en caldito de pollo desde 6 meses hero solo sin gluten 235 g,235 g,1.75,7.446808510638299,hero,bebe
panales carrefour baby ultra dry talla 4 7 18 kg 92 ud,18 kg,14.69,0.8161111111111111,carrefour baby ultra dry,bebe
preparado de fresa sin azucar anadido desde 6 meses ecologico my carrefour baby bio sin gluten pack de 4 bolsitas de 100 g,pack de 4 bolsitas de 100 g,2.55,25.499999999999996,carrefour bio,bebe
toallitas humedas higienicas infantiles carrefour soft 100 ud,100 ud,2.15,0.0215,carrefour,bebe
bolsita de manzana platano y zanahoria ecologico hero solo sin gluten 100 g,100 g,1.62,16.2,hero solo,bebe
esponja suave bebe carrefour 1 ud,1 ud,0.9,0.9,carrefour,bebe
tarrito de pera y manzana desde 4 meses ecologico hero solo sin gluten 120 g,120 g,1.3,10.833333333333334,hero solo,bebe
tarrito de zanahorias baby con ternera desde 6 meses hero solo sin gluten 235 g,235 g,1.75,7.446808510638299,hero,bebe
bastoncillos de algodon carrefour baby 60 ud ,60 ud,1.05,0.0175,carrefour baby,bebe
toallitas babe carrefour clean  fresh x24 uds,x24 ud,0.75,0.03125,carrefour baby,bebe
tarrito de verduras con pollo desde 6 meses nutriben potitos sin gluten 235 g,235 g,1.84,7.829787234042554,nutriben,bebe
preparado de manzana platano arandanos y avena desde 6 meses ecologico my carrefour baby bio sin gluten y sin azucar anadido pack de 4 unidades de 100 g,pack de 4 unidades de 100 g,3.25,8.125,carrefour baby,bebe
toallitas para bebe dodot 64 ud,64 ud,1.9,0.0296875,dodot,bebe
toallitas bebe camomila my carrefour baby 80 ud,80 ud,1.69,0.021124999999999998,carrefour baby,bebe
bolsita de multifrutas desde 6 meses nestle sin gluten y sin azucar anadido 90 g,90 g,1.4,15.555555555555555,nestle,bebe
tarrito de verduritas con merluza desde 6 meses hero solo sin gluten 235 g,235 g,1.75,7.446808510638299,hero,bebe
preparado lacteo infantil de crecimiento desde 3 anos con cereales nestle nativa junior brik 1 l,brik 1 l,2.39,2.39,nestle,bebe
toallitas bebe sensitive my baby carrefour 72 ud,72 ud,2.29,0.03180555555555556,carrefour baby,bebe
snack con manzana y platano ecologico smileat sin gluten 25 g,25 g,1.58,63.2,smileat,bebe
tarrito de pollo con arroz desde 6 meses nutriben potitos sin gluten 235 g,235 g,1.84,7.829787234042554,nutriben,bebe
locion suave para ayudar a que los bebes duerman mejor dulces suenos johnsons baby 500 ml,500 ml,5.29,10.58,johnsons baby,bebe
tarrito de menestra de verduras ternera y jamon desde 6 meses hero baby sin gluten pack de 6 unidades de 235 g,pack de 6 unidades de 235 g,10.19,7.226950354609929,hero,bebe
papilla infantil desde 6 meses 8 cereales con miel nestle 725 g,725 g,5.45,7.517241379310345,nestle,bebe
leche infantil de continuacion desde 6 meses en polvo nutriben innova 2 sin aceite de palma lata 800 g,lata 800 g,26.6,33.25,nutriben,bebe
gel   champu para bebe atopic protect aceite de aguacate carrefour my baby 500 ml,500 ml,3.25,6.5,carrefour baby,bebe
toallitashuggies natural care 21 paquetes 168 uds,168 uds,5.75,0.03422619047619048,huggies,bebe
toallitas sensibles para recien nacido biodegradables sin fragancia waterwipes 60 ud,60 ud,4.25,0.07083333333333333,water wipes,bebe
tarrito multifrutas con mango desde 4 meses ecologico smileat sin gluten 130 g,130 g,1.91,14.692307692307692,smileat,bebe
tarrito de guisantes tiernos con jamon cocido extra desde 6 meses hero solo sin gluten pack de 6 unidades de 190 g,pack de 6 unidades de 190 g,9.19,8.06140350877193,hero,bebe
postre lacteo de cacao desde 8 meses nestle yogolino sin gluten pack de 4 unidades de 100 g,pack de 4 unidades de 100 g,3.19,7.975,yogolino,bebe
papilla infantil desde 6 meses cereales integrales muticereales ecologico hipp biologico sin lactosa 400 g,400 g,6.99,17.474999999999998,hipp,bebe
postre de coco platano desde 6 meses nestle yogolino sin gluten y sin lactosa pack de 4 unidades de 90 g,pack de 4 unidades de 90 g,3.79,10.527777777777779,yogolino,bebe
tarrito de jardinera de ternera desde 6 meses nestle sin gluten 190 g,190 g,1.84,9.68421052631579,nestle,bebe
tarrito de melocoton con platano y pera ecologico carrefour baby bio desde 6 meses pack de 2 unidades de 200 g,pack de 2 unidades de 200 g,2.85,7.125,carrefour bio,bebe
snacks infantil de fresa y manzana ecologico smileat 25 g,25 g,1.86,74.4,smileat,bebe
champu camomila johnsons baby 500 ml,500 ml,4.85,9.7,johnsons baby,bebe
toallitas para bebe calma  protege pure dodot 138 ud,138 ud,11.69,0.08471014492753623,dodot,bebe
tarrito de verduras con pollo y ternera desde 6 meses hero solo sin gluten pack de 6 unidades de 235 g,pack de 6 unidades de 235 g,10.19,7.226950354609929,hero,bebe
snacks infantil pizza dino puffs goodies 30 g,30 g,2.05,68.33333333333333,hero goodies,bebe
tarrito de frutas con copos de avena ecologico carrefour baby bio desde 6 meses pack de 2 unidades de 200 g,pack de 2 unidades de 200 g,2.85,7.125,carrefour bio,bebe
panales carrefour baby ultra dry talla 3 4 9 kg 160 ud,9 kg,22.9,2.5444444444444443,carrefour baby ultra dry,bebe
tarrito de calabaza y calabacin desde 4 meses ecologico smileat sin gluten 230 g,230 g,2.69,11.695652173913043,smileat,bebe
ropa interior absorbente nina noche drynites 8 15 anos 27 57 kg 13 ud,57 kg,12.55,0.22017543859649125,drynites,bebe
pants dodot activity t5 12 17 kg 38 ud,17 kg,29.4,1.7294117647058822,dodot activity extra,bebe
panales premium ultra protect carrefour baby t4 7kg 18kg 40 ud,7kg,13.35,1.907142857142857,carrefour baby ultra protect,bebe
