nombre,formato,precio,precio_ud/Kg/L,marca,categoria
"cerveza celiacos botella 0,33 l","botella 0,33 l",1.16,3.52,AMBAR,bebidas
"cerveza especial lata 0,33 l","lata 0,33 l",0.87,2.64,AMBAR,bebidas
"cerveza export lata 0,33 l","lata 0,33 l",0.79,2.39,AMBAR,bebidas
"cerveza celiacos 0,0,0 botella 0,33 l","botella 0,33 l",1.29,3.91,"AMBAR 0,0,0",bebidas
"cerveza tostada 0,0,0 lata 0,33 l","lata 0,33 l",0.83,2.52,"AMBAR 0,0,0",bebidas
"cerveza 0,0% lata 0,33 l","lata 0,33 l",0.79,2.39,AMSTEL,bebidas
cerveza botella cristal 1 l,1 l,1.35,1.35,AMSTEL,bebidas
"cerveza botella cristal pack 12 12 x 0,25 l",12 x 0,6.24,2.08,AMSTEL,bebidas
cerveza clasica botella cristal 1 l,1 l,1.45,1.45,AMSTEL,bebidas
"cerveza clasica lata 0,33 l","lata 0,33 l",0.46,1.39,AMSTEL,bebidas
"cerveza lata 0,33 l","lata 0,33 l",0.51,1.55,AMSTEL,bebidas
"cerveza lata 0,5 l","lata 0,5 l",1.25,2.5,AMSTEL,bebidas
"cerveza radler 0,0 lata 0,33 l","lata 0,33 l",0.79,2.39,AMSTEL,bebidas
"cerveza radler limon lata 0,33 l","lata 0,33 l",0.79,2.39,AMSTEL,bebidas
"cerveza 0,0 tostada pack de 6 botellas 6 x 0,25 l",pack de 6 botellas,4.95,3.3,AMSTEL ORO,bebidas
"cerveza 0,0% tostada lata 0,33 l","lata 0,33 l",0.69,2.09,AMSTEL ORO,bebidas
"cerveza tostada lata 0,33 l","lata 0,33 l",0.69,2.09,AMSTEL ORO,bebidas
"cerveza tostada pack de 6 botellas 6 x 0,25 l",pack de 6 botellas,4.95,3.3,AMSTEL ORO,bebidas
"cava brut pack 3 d.o.cava 3 x 0,2 l",3 x 0,9.95,16.58,ANNA CODORNI,bebidas
"refresco guarana 0,33 l","0,33 l",0.95,2.88,ANTARCTICA,bebidas
"aperitivo 0,7 l","0,7 l",13.65,19.5,APEROL,bebidas
"agua mineral natural pet 0,5 l","0,5 l",0.59,1.18,AQUABONA,bebidas
"agua mineral natural. botella 1,5 l","botella 1,5 l",0.65,0.43,AQUABONA,bebidas
"agua mineral natural botella 1,5 l","botella 1,5 l",0.62,0.41,AQUAREL,bebidas
agua mineral natural garrafa 5 l,5 l,1.35,0.27,AQUAREL,bebidas
